row_id,token_index,token,true_tag,pred_tag,correct
0,2,jaitannya,B-PRODUCT_POSITIVE,B-PRODUCT_NEGATIVE,False
0,3,juga,I-PRODUCT_POSITIVE,O,False
0,4,tapi,O,B-PLACE_NEGATIVE,False
0,14,copot,B-PRODUCT_NEGATIVE,O,False
1,3,banget,O,I-PLACE_POSITIVE,False
2,0,kualitas,O,B-PRODUCT_POSITIVE,False
2,1,produk,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
2,3,bgt,I-PRODUCT_POSITIVE,O,False
2,4,pesen,B-PLACE_POSITIVE,O,False
2,5,kemarin,I-PLACE_POSITIVE,O,False
2,6,hri,I-PLACE_POSITIVE,O,False
2,7,ini,I-PLACE_POSITIVE,O,False
2,8,uda,I-PLACE_POSITIVE,O,False
2,9,dtg,I-PLACE_POSITIVE,I-PRODUCT_NEGATIVE,False
2,10,sukaa,O,I-PRODUCT_NEGATIVE,False
3,5,dan,O,I-PRICE_POSITIVE,False
4,1,suka,O,I-PRODUCT_POSITIVE,False
4,2,simpel,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
4,3,size,B-PRODUCT_POSITIVE,I-PRODUCT_POSITIVE,False
5,0,suka,O,B-PLACE_POSITIVE,False
5,1,belanja,O,I-PLACE_POSITIVE,False
5,2,disini,O,I-PLACE_POSITIVE,False
5,3,bagus,O,B-PRODUCT_POSITIVE,False
5,4,bagus,O,I-PRODUCT_POSITIVE,False
6,0,ukurannya,O,B-PRODUCT_POSITIVE,False
6,1,pas,O,I-PRODUCT_POSITIVE,False
6,2,bahan,O,B-PRODUCT_POSITIVE,False
6,3,lumayan,O,B-PRICE_NEUTRAL,False
6,4,sesuai,O,I-PRICE_NEUTRAL,False
6,5,harga,O,I-PRICE_NEUTRAL,False
7,2,kaya,I-PRODUCT_NEGATIVE,O,False
7,3,harga,I-PRODUCT_NEGATIVE,B-PRICE_POSITIVE,False
7,4,70,I-PRODUCT_NEGATIVE,I-PRICE_NEGATIVE,False
7,5,80,I-PRODUCT_NEGATIVE,O,False
7,6,rbu,I-PRODUCT_NEGATIVE,O,False
